cityid,urbanArea,Albedo,Evapotranspiration,Specific_humidity,Total_precipitation_rate,Rain_precipitation_rate,Air_temperature,Wind_speed,era5h11_temperature_2m,era5h11_total_precipitation,era5h11_total_precipitation_hourly,era5h11_wind_10m,era5m_temperature_2m,era5m_temperature_2m_max,era5m_temperature_2m_min,era5m_total_precipitation_sum,era5m_wind_10m,pop,Type,continent,continent_v,max_d_rsquared,max_t_rsquared,d_const,d_lnarea,d_lnlsi,d_NDVI,d_imp,city_d_rsquared,t_const,t_lnarea,t_lnlsi,t_NDVI,t_imp,city_t_rsquared,green_space_num,ndvi_imp_green_space_num,non_cool,have_turning_point,max_g_median,max_d_mean,max_d_median,max_t_mean,max_t_median,mean_ndvi,mean_isp
58118,1081.246036,15.62742146,-6.22E-07,0.010478922,4.53E-05,4.53E-05,289.4476322,3.099879476,291.2248447,0.001043565,0.000104,0.665204321,293.833671,302.0999474,285.9066426,0.076973459,0.463915922,1087711.972,4,North America,4,0.199446342,0.666425532,30.11839226,-15.92509484,43.22414994,200.5157467,160.6757264,0.021099289,-12.85133319,0.643570704,-1.041898956,10.28699184,4.782094536,0.721482907,120,81,1,81,0.941696336,144.0415906,129.6532031,1.504754731,1.175995313,0.57899123,0.659868998
58205,82.84034466,15.75985504,-9.09E-07,0.010689671,4.69E-05,4.69E-05,289.5860453,2.956790834,291.1548226,0.000969,0.000107,0.433467126,295.3368389,305.2925944,285.4707348,0.078687292,0.464600094,60052.02296,4,North America,4,0.199446342,0.666425532,-382.5296569,-10.78089729,24.66759184,890.6351967,33.95530665,0.118523821,-11.47758802,-0.325237543,0.72226947,20.41900501,4.214015465,0.664878461,67,39,2,39,1.022759296,143.7152651,139.1669312,1.248692346,1.073704426,0.668406598,0.371781982
58239,331.6234618,15.58013606,-1.21E-06,0.010523304,4.64E-05,4.64E-05,289.1802836,2.840054802,290.9616188,0.001099525,0.000117,0.449723505,295.3272234,305.5078733,285.2730053,0.08384346,0.524371212,340177.3274,4,North America,4,0.199446342,0.666425532,-55.96666573,-39.47636792,63.05716986,614.5385044,237.3516247,0.278828711,-12.71113478,1.04794488,-2.417402242,5.82284548,5.306951442,0.743762539,44,34,0,34,1.4266882,127.3366824,116.6314583,1.716774636,1.647118467,0.662978091,0.467108361
58368,78.27119071,15.01893826,-1.77E-06,0.010481453,4.84E-05,4.84E-05,288.9608211,2.546785765,290.8388943,0.001786646,0.000142,0.505199798,295.1456826,305.3041652,285.2422921,0.107784021,0.575360666,76141.93659,4,North America,4,0.199446342,0.666425532,-537.0503969,9.451952161,12.01402292,567.8237997,355.5477392,0.334443564,-14.89060182,0.90841217,-1.706798202,9.219535923,6.03156691,0.6661635,64,42,0,42,0.936345221,122.0060164,105.7175676,1.276470569,1.028782001,0.642150173,0.512702919
58586,240.4475715,13.75368083,6.96E-07,0.016681317,6.65E-05,6.65E-05,296.6003768,1.933580184,298.1555967,0.000433,3.19E-05,1.647888202,301.7836773,309.415899,296.5725943,0.101442392,1.8431118,937449.61,1,North America,4,0.199446342,0.666425532,19.27856931,13.27292859,-13.48476538,-67.93501258,67.9338965,0.016512383,-8.44290556,0.534219144,-0.308463824,5.691020376,2.147086089,0.69772552,135,75,1,75,0.834008982,153.086017,146.38786,1.470372058,1.338353035,0.565716287,0.769247891
58625,93.18540038,14.32156689,2.96E-06,0.014183142,0.000105,0.000105,292.1041855,1.177762777,293.2542277,0.002312158,0.00012,0.06122165,296.2368731,303.1086783,291.2549151,0.22093403,0.303124579,587052.1636,1,North America,4,0.199446342,0.666425532,14.46971505,-10.22003917,56.28830829,115.4004081,149.9717681,0.136112655,-7.674775535,0.418767755,-0.33356249,5.333957867,3.064739033,0.531719809,65,45,0,45,1.182121931,157.8000183,146.0168116,1.878951381,1.873189391,0.613522707,0.764983891
58664,112.1363188,14.28223748,3.56E-07,0.015069775,7.64E-05,7.64E-05,294.4486431,1.707530734,295.506471,0.003010145,0.00017,0.56151638,298.4394964,305.175334,293.3720256,0.209989634,0.371474333,631463.288,1,North America,4,0.199446342,0.666425532,-41.58952844,-7.849810445,39.3551179,223.0251937,133.8800698,0.191375978,-7.881313349,0.870620347,-1.630079684,2.363729386,1.113618484,0.778872674,30,22,0,22,0.962065226,144.2095554,135.1159479,1.488927694,1.41415678,0.575737521,0.728259801
58723,140.9215783,15.30887736,2.30E-06,0.017815663,2.26E-05,2.26E-05,299.5522841,4.138269344,299.5296627,0.000755,8.27E-05,3.311526309,302.6726718,309.9427541,297.0017485,0.066094892,4.448865441,434521.103,3,North America,4,0.199446342,0.666425532,75.44715289,7.83308772,18.55837622,-49.32139433,0.028208833,0.028793797,-5.152549982,0.072405841,0.212807695,8.647581673,1.866378311,0.378036987,67,40,0,40,1.007045951,146.573417,130.8903148,1.440310814,1.410087232,0.526249135,0.591606786
58768,99.21382686,13.26199302,-1.84E-06,0.017202925,4.39E-05,4.39E-05,297.3693669,1.359092202,298.6446786,0.001560266,0.000103,0.178789266,301.8486178,309.8173294,296.657337,0.099637283,1.691302713,541091.7763,1,North America,4,0.199446342,0.666425532,215.4208818,0.947345236,31.6332814,-222.4855517,37.67824497,0.15216335,-7.478034118,0.716330037,-1.213316882,3.480422289,1.654661576,0.721689125,38,28,0,28,1.376084043,151.1943154,138.2196871,2.18113577,2.134315993,0.578748207,0.685581576
58803,51.58743589,14.96077003,2.07E-06,0.010159622,5.44E-05,5.44E-05,286.0586317,1.54427944,285.8137121,0.002225707,9.93E-05,0.306362562,289.8407814,298.2959573,283.0141933,0.182035076,0.722787939,187812.8398,3,North America,4,0.199446342,0.666425532,-3.070392657,1.157958841,76.26549402,190.2952764,-81.89325609,0.190203185,-8.574518292,1.026882971,-0.245883825,-0.587120357,0.704697944,0.750661301,44,28,0,28,1.160809827,134.2508202,125.8123704,1.620275679,1.431044819,0.547483682,0.647690335
